Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,,,,
Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0,0.81,0,0.15,0.96,65,12,7.5,111
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,,,,
Sniper Elite V2,PS3,2012,Shooter,505 Games,0.38,0.38,0.06,0.14,0.96,70,21,6.9,92
Mario Tennis Open,3DS,2012,Sports,Nintendo,0.26,0.29,0.34,0.05,0.95,69,58,6.9,110
PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,0.5,0.27,0.04,0.15,0.95,74,69,7.3,540
Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.67,0.21,0,0.07,0.95,,,,
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.32,0.09,0.12,0.95,79,18,6.9,156
Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0,0.12,0.93,80,21,6.2,1489
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.1,0.93,89,38,8.2,2482
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.06,0.92,87,23,7.5,75
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.91,74,21,8.2,62
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81,38,6.8,110
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,88,82,8.3,818
LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0,0.07,0.9,,,7.2,21
FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.62,0,0.1,0.89,77,47,6.7,58
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.18,0,0.11,0.89,,,,
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0,0,0.07,0.89,79,9,4.1,34
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82,78,8.5,397
Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80,47,7.9,468
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80,71,7.7,446
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73,69,6.9,159
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81,34,7.6,376
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82,50,8.2,193
Darksiders II,PS3,2012,Action,THQ,0.35,0.35,0.01,0.14,0.84,84,39,7.1,422
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71,59,7.9,216
Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67,37,6.8,131
Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84,51,5.3,191
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.73,0,0,0.1,0.82,,,8.3,52
Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74,27,8.8,158
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.18,0,0.06,0.81,86,43,8,45
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,0.67,0.07,0,0.08,0.81,,,,
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.8,79,69,8.5,99
Darksiders II,X360,2012,Action,THQ,0.45,0.27,0,0.07,0.79,83,63,8,456
[Prototype 2],X360,2012,Action,Activision,0.48,0.24,0,0.07,0.79,74,69,7,173
Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.42,0.23,0.07,0.06,0.79,75,59,7.8,320
The Amazing Spider-Man (Console Version),PS3,2012,Action,Activision,0.31,0.35,0,0.13,0.79,,,,
Resident Evil: Operation Raccoon City,X360,2012,Action,Capcom,0.55,0.14,0.03,0.06,0.77,52,56,4.9,330
The Walking Dead: Season One,PS3,2012,Adventure,Avanquest Software,0.4,0.23,0.03,0.1,0.76,,,,
LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0,0.06,0.75,72,6,5.2,25
SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.35,0.23,0.07,0.09,0.75,81,53,6.7,150
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.1,0.74,79,39,6.8,179
The Amazing Spider-Man (Console Version),X360,2012,Action,Activision,0.43,0.24,0,0.06,0.73,,,,
The Walking Dead: Season One,X360,2012,Adventure,Avanquest Software,0.55,0.13,0,0.05,0.73,,,,
Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76,5,8,15
Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86,47,7.7,180
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74,23,7.1,83
Ratchet & Clank Collection,PS3,2012,Action,Sony Computer Entertainment,0.47,0.13,0.02,0.1,0.72,,,,
XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.27,0.36,0,0.08,0.71,89,57,8.2,2235
SSX,X360,2012,Sports,Electronic Arts,0.38,0.26,0,0.06,0.7,82,65,6.4,186
Monster Hunter Tri,WiiU,2012,Role-Playing,Nintendo,0.24,0.19,0.22,0.04,0.69,,,,
FIFA Soccer 13,Wii,2012,Action,Electronic Arts,0.18,0.44,0,0.07,0.69,,,1.6,21
LEGO Batman 2: DC Super Heroes,DS,2012,Action,Warner Bros. Interactive Entertainment,0.39,0.24,0,0.06,0.69,,,8,4
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.33,0,0.33,0.02,0.67,82,6,8.8,37
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0.14,0.39,0,0.15,0.67,,,,
London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,0.06,0.48,0,0.14,0.67,,,,
Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0,0,0.66,0,0.66,,,,
NHL 13,X360,2012,Sports,Electronic Arts,0.51,0.1,0,0.05,0.66,83,44,6.6,86
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67,37,7.1,199
Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,0.42,0.13,0,0.1,0.65,85,51,7.8,192
NHL 13,PS3,2012,Sports,Electronic Arts,0.33,0.21,0,0.09,0.64,84,22,6.8,60
Dead or Alive 5,PS3,2012,Fighting,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74,34,7.7,109
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,0,0,0.63,0,0.63,,,,
Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0,0.05,0.63,62,7,4.6,20
XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,0.36,0.21,0,0.05,0.62,90,35,8.3,366
Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,0,0,0.62,0,0.62,,,,
Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0,0.05,0.61,73,13,7.4,21
Yakuza 5,PS3,2012,Action,Sega,0,0,0.59,0,0.59,83,34,8.5,180
SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.13,0.02,0.04,0.58,77,56,6.2,124
Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.2,0.33,0,0.05,0.58,,,,
Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.15,0,0.05,0.58,68,31,5.1,15
FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79,45,7.2,79
London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.44,0,0.07,0.58,,,,
XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.23,0,0.1,0.57,89,20,8.2,296
Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0,0.1,0.57,67,16,6.4,107
Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.32,0,0.21,0.03,0.57,78,33,8.1,122
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,83,73,8.5,625
Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.23,0.04,0.08,0.54,77,27,8,350
Rayman Origins,PSV,2012,Platform,Ubisoft,0.12,0.33,0,0.09,0.54,88,54,8.4,298
Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts,0.24,0.21,0,0.08,0.54,75,14,5.7,9
Sonic & All-Stars Racing Transformed,WiiU,2012,Racing,Sega,0.19,0.26,0.02,0.04,0.51,,,,
Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.32,0.15,0,0.04,0.51,59,35,5.5,22
Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0,0.06,0.51,,,,
Tiger Woods PGA Tour 13,X360,2012,Sports,Electronic Arts,0.29,0.18,0,0.04,0.51,77,47,5.6,39
Unit 13,PSV,2012,Shooter,Sony Computer Entertainment,0.25,0.13,0.04,0.07,0.5,71,60,7.5,169
Theatrhythm: Final Fantasy,3DS,2012,Misc,Square Enix,0.22,0.07,0.18,0.02,0.5,78,60,7.8,113
Major League Baseball 2K12,X360,2012,Sports,Take-Two Interactive,0.47,0,0,0.03,0.5,68,19,6.4,22
Madden NFL 13,Wii,2012,Sports,Electronic Arts,0.47,0,0,0.03,0.5,,,7.3,4
F1 2012,X360,2012,Racing,Codemasters,0.1,0.34,0,0.05,0.49,84,42,6.9,56
Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,,,,
Sonic & All-Stars Racing Transformed,PS3,2012,Racing,Sega,0.08,0.3,0.01,0.09,0.49,,,,
Lollipop Chainsaw,X360,2012,Action,Warner Bros. Interactive Entertainment,0.31,0.12,0.02,0.04,0.48,70,64,7,260
Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.28,0.15,0,0.04,0.47,67,30,6.5,132
Street Fighter X Tekken,X360,2012,Fighting,Capcom,0.31,0.1,0.03,0.04,0.47,83,45,4.4,177
FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.17,0.27,0,0.04,0.47,69,28,6.2,49
Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,0.21,0.18,0,0.08,0.47,59,36,4.3,24
Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0,0.47,,,,
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.04,0.21,0.02,0.46,81,14,7.6,22
Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.15,0.04,0.06,0.46,64,41,6.9,262
PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.21,0.14,0.01,0.09,0.45,75,15,7.5,221
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.44,74,35,7.2,47
Transformers: Fall of Cybertron,X360,2012,Action,Activision,0.28,0.12,0,0.04,0.44,79,52,8.3,160
FIFA Soccer 13,PSV,2012,Action,Electronic Arts,0,0.28,0.05,0.11,0.44,57,9,4.1,89
Ninja Gaiden 3,PS3,2012,Action,Tecmo Koei,0.19,0.09,0.11,0.05,0.43,58,43,5,152
Devil May Cry HD Collection,X360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.43,77,32,8.4,93
Mass Effect Trilogy,PS3,2012,Action,Electronic Arts,0.37,0,0,0.06,0.43,,,8.7,63
Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.11,0,0.06,0.43,77,5,7.1,29
Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.16,0.22,0,0.05,0.43,87,30,7.6,2202
Zone of the Enders HD Collection,PS3,2012,Simulation,Konami Digital Entertainment,0.21,0.07,0.09,0.05,0.42,73,27,8,42
NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.36,0.03,0,0.03,0.42,,,7.5,10
Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.21,0.17,0,0.04,0.42,76,59,8.2,319
Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.2,0.18,0,0.03,0.41,81,31,6.9,228
Resistance: Burning Skies,PSV,2012,Shooter,Sony Computer Entertainment,0.18,0.15,0.02,0.06,0.41,60,63,6.8,245
Mass Effect Trilogy,X360,2012,Action,Electronic Arts,0.28,0.09,0,0.03,0.4,,,7.4,30
Asura's Wrath,PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71,39,7.4,169
Ragnarok Odyssey,PSV,2012,Role-Playing,GungHo,0.2,0.01,0.16,0.03,0.4,66,21,7.8,111
FIFA Soccer 13,PC,2012,Action,Electronic Arts,0.02,0.31,0,0.07,0.4,86,7,6.6,286
Moshi Monsters: Moshlings Theme Park,DS,2012,Misc,Activision,0.03,0.33,0,0.04,0.4,,,,
LEGO The Lord of the Rings,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.2,0.16,0,0.03,0.39,61,4,7.6,10
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39,65,26,7.3,47
Project X Zone,3DS,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39,70,53,7.3,146
Transformers: Fall of Cybertron,PS3,2012,Action,Activision,0.19,0.14,0,0.06,0.39,77,32,8.2,87
Metal Gear Solid HD Edition,PSV,2012,Action,Konami Digital Entertainment,0.12,0.16,0.05,0.06,0.39,,,,
The Darkness II,X360,2012,Shooter,Take-Two Interactive,0.24,0.11,0,0.03,0.39,80,71,7.5,219
WipeOut 3 The Game,Wii,2012,Action,Activision,0.36,0,0,0.03,0.39,,,,
Sonic & All-Stars Racing Transformed,PSV,2012,Racing,Sega,0.09,0.2,0,0.09,0.38,,,,
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38,78,46,7.8,167
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38,,,,
Skylanders Giants,WiiU,2012,Action,Activision,0.22,0.12,0,0.03,0.37,80,8,6.9,22
Just Dance 4,WiiU,2012,Misc,Ubisoft,0.21,0.13,0,0.03,0.37,66,14,7.8,37
Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0,0.03,0.37,73,42,7.4,109
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.16,0.18,0,0.03,0.36,,,,
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,0,0,0.36,0,0.36,,,,
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.2,0.12,0,0.03,0.36,31,13,2.7,18
Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,0.13,0.17,0,0.05,0.35,79,63,8.2,191
Assassin's Creed III,WiiU,2012,Action,Ubisoft,0.19,0.13,0,0.03,0.35,85,26,7.1,216
FIFA Soccer 13,PSP,2012,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35,,,3.2,19
Tekken Tag Tournament 2,X360,2012,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83,35,7.5,90
James Bond 007: Legends,PS3,2012,Shooter,Activision,0.11,0.16,0,0.07,0.34,,,,
LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.16,0.11,0,0.06,0.33,62,9,6.7,46
Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,0.14,0.15,0,0.04,0.33,55,30,5.4,599
Binary Domain,PS3,2012,Action,Sega,0.09,0.07,0.14,0.03,0.33,72,33,8.2,179
One Piece: Romance Dawn - Bouken no Yoake,PSP,2012,Fighting,Namco Bandai Games,0,0,0.32,0,0.32,,,,
Silent Hill: Downpour,X360,2012,Action,Konami Digital Entertainment,0.22,0.08,0,0.02,0.32,68,38,7.3,269
Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.03,0.32,76,39,7.9,95
Silent Hill HD Collection,PS3,2012,Action,Konami Digital Entertainment,0.15,0.1,0.03,0.04,0.32,70,33,4.8,136
The Darkness II,PS3,2012,Shooter,Take-Two Interactive,0.14,0.13,0,0.05,0.32,79,28,7.6,127
F1 Race Stars,PS3,2012,Racing,Codemasters,0.06,0.19,0,0.06,0.32,61,27,5.6,34
SD Gundam G Generation: Overworld,PSP,2012,Strategy,Namco Bandai Games,0,0,0.31,0,0.31,,,,
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012,Role-Playing,Atlus,0.13,0.02,0.14,0.01,0.31,,,,
Pro Evolution Soccer 2013,X360,2012,Sports,Konami Digital Entertainment,0.08,0.2,0,0.03,0.31,82,33,6.9,77
Dai-2-Ji Super Robot Taisen OG,PS3,2012,Strategy,Namco Bandai Games,0,0,0.3,0,0.3,,,,
Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,0.14,0.13,0,0.03,0.3,81,25,6.6,1097
Madden NFL 13,PSV,2012,Sports,Electronic Arts,0.28,0,0,0.02,0.3,63,6,7.3,38
Fist of the North Star: Ken's Rage 2,PS3,2012,Fighting,Tecmo Koei,0,0,0.3,0,0.3,49,19,7,19
Sorcery,PS3,2012,Action,Sony Computer Entertainment,0.14,0.11,0,0.05,0.29,70,52,7.3,57
Modnation Racers: Road Trip,PSV,2012,Racing,Sony Computer Entertainment,0.15,0.09,0,0.04,0.29,62,51,6.4,69
Just Dance Wii 2,Wii,2012,Misc,Nintendo,0,0,0.29,0,0.29,,,,
Starhawk,PS3,2012,Action,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29,77,71,7.8,188
FIFA Soccer 13,3DS,2012,Action,Electronic Arts,0.06,0.2,0,0.03,0.29,68,4,3.7,16
James Bond 007: Legends,X360,2012,Shooter,Activision,0.13,0.13,0,0.03,0.29,,,,
Sonic & All-Stars Racing Transformed,3DS,2012,Racing,Sega,0.12,0.14,0,0.02,0.29,,,,
Hot Shots Golf: World Invitational,PS3,2012,Sports,Sony Computer Entertainment,0,0,0.28,0,0.28,,,7.9,9
LEGO The Lord of the Rings,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.13,0,0.06,0.28,54,8,5.6,35
Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,0.18,0.08,0,0.02,0.28,61,70,4.8,80
Moshi Monsters: Moshlings Theme Park,3DS,2012,Misc,Activision,0.13,0.13,0,0.03,0.28,,,,
Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0,0,0.28,0,0.28,,,,
Mass Effect Trilogy,PC,2012,Action,Electronic Arts,0.09,0.16,0,0.02,0.27,,,8,60
F1 Race Stars,X360,2012,Racing,Codemasters,0.07,0.17,0,0.02,0.27,64,33,5.7,22
Sing Party,WiiU,2012,Misc,Nintendo,0.13,0.12,0,0.02,0.27,60,21,5.4,18
Rhythm Thief & the Emperor's Treasure,3DS,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27,,,,
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012,Action,Nintendo,0,0,0.27,0,0.27,,,,
Mass Effect 3,WiiU,2012,Role-Playing,Electronic Arts,0.14,0.11,0,0.02,0.27,,,,
Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,0,0.07,0.18,0.03,0.27,,,,
Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.1,0,0.04,0.26,40,9,6.4,31
Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.05,0,0.02,0.26,63,13,3.5,27
Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70,17,6.6,120
Tokyo Jungle,PS3,2012,Action,Sony Computer Entertainment,0,0,0.26,0,0.26,74,60,8.4,89
Game of Thrones,X360,2012,Role-Playing,Focus Home Interactive,0.15,0.08,0,0.02,0.25,52,35,5.2,126
Family Guy: Back to the Multiverse,X360,2012,Action,Activision,0.14,0.09,0,0.02,0.25,39,28,5,51
Ninja Gaiden 3,X360,2012,Action,Tecmo Koei,0.16,0.05,0.03,0.02,0.25,58,39,4.4,136
Hitman: Absolution,PC,2012,Action,Square Enix,0.03,0.17,0,0.04,0.24,79,26,7,1327
Ys: Memories of Celceta,PSV,2012,Action,Nihon Falcom Corporation,0.1,0.01,0.1,0.04,0.24,82,56,8.8,237
Asura's Wrath,X360,2012,Action,Capcom,0.15,0.06,0.01,0.02,0.24,71,54,6.5,131
The Testament of Sherlock Holmes,PS3,2012,Adventure,Focus Home Interactive,0.05,0.14,0,0.04,0.24,65,16,7.4,34
Game of Thrones,PS3,2012,Role-Playing,Focus Home Interactive,0.1,0.1,0,0.03,0.24,53,14,5.5,81
Birds of Steel,PS3,2012,Simulation,Konami Digital Entertainment,0.1,0.08,0.02,0.03,0.23,73,27,8.4,18
Hatsune Miku: Project Diva f,PSV,2012,Misc,Sega,0,0,0.23,0,0.23,81,10,8,90
DiRT Showdown,X360,2012,Racing,Codemasters,0.08,0.13,0,0.02,0.23,75,53,6.4,53
Grand Slam Tennis 2,PS3,2012,Sports,Electronic Arts,0.09,0.1,0,0.04,0.23,73,36,5.2,17
Ratchet & Clank: Full Frontal Assault,PS3,2012,Adventure,Sony Computer Entertainment,0.19,0.01,0,0.03,0.23,,,,
Epic Mickey 2: The Power of Two,WiiU,2012,Action,Disney Interactive Studios,0.13,0.07,0.01,0.02,0.23,57,14,5.6,46
AKB1/149: Love Election,PSP,2012,Adventure,Namco Bandai Games,0,0,0.23,0,0.23,,,,
Madden NFL 13,WiiU,2012,Sports,Electronic Arts,0.21,0,0,0.02,0.23,75,9,6.7,30
Ninja Gaiden Sigma,PSV,2012,Action,Tecmo Koei,0.1,0.05,0.04,0.03,0.23,,,,
Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,0.09,0.09,0.01,0.04,0.23,83,65,7.8,85
Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,0.11,0.09,0,0.02,0.23,76,16,8.2,1237
We Sing Pop!,Wii,2012,Misc,Nordic Games,0.05,0.15,0,0.02,0.22,,,,
Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,0,0.19,0,0.03,0.22,69,51,5.6,751
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,0.13,0.02,0.06,0.01,0.22,54,35,6.1,28
Risen 2: Dark Waters,PS3,2012,Role-Playing,Deep Silver,0.04,0.13,0.01,0.04,0.22,47,13,5.2,37
LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0,0.03,0.22,80,6,8.2,127
Digimon World Re:Digitize,PSP,2012,Action,Namco Bandai Games,0,0,0.22,0,0.22,,,,
Armored Core V,X360,2012,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.21,68,37,7.2,37
Magician's Quest: Town of Magic,3DS,2012,Simulation,Konami Digital Entertainment,0,0,0.21,0,0.21,,,,
WipeOut 3 The Game,X360,2012,Action,Activision,0.2,0,0,0.02,0.21,,,,
Journey,PS3,2012,Adventure,Sony Computer Entertainment Europe,0.04,0.13,0,0.04,0.21,92,78,8.8,1381
Heroes of Ruin,3DS,2012,Role-Playing,Nintendo,0.13,0.07,0,0.02,0.21,69,53,7.4,50
Little Battlers eXperience: Baku Boost,3DS,2012,Action,Nintendo,0,0,0.21,0,0.21,,,,
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Action,Konami Digital Entertainment,0,0,0.21,0,0.21,,,,
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71,35,8.2,106
Shining Blade,PSP,2012,Role-Playing,Sega,0,0,0.2,0,0.2,,,,
WipeOut 3 The Game,3DS,2012,Action,Activision,0.18,0,0,0.02,0.2,,,,
Kurohyou 2: Ryu ga Gotoku Ashura Hen,PSP,2012,Action,Sega,0,0,0.2,0,0.2,,,,
Code of Princess,3DS,2012,Action,Agatsuma Entertainment,0.16,0,0.03,0.01,0.2,67,38,7.6,73
Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.06,0.07,0.05,0.01,0.2,64,42,5.9,39
Zone of the Enders HD Collection,X360,2012,Simulation,Konami Digital Entertainment,0.14,0.03,0.01,0.02,0.2,75,21,8.8,20
Pro Yaky? Spirits 2012,PSP,2012,Sports,Konami Digital Entertainment,0,0,0.2,0,0.2,,,,
Total War: Shogun 2 - Fall of the Samurai,PC,2012,Strategy,Sega,0.07,0.1,0,0.02,0.2,,,,
Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.07,0.09,0,0.03,0.2,49,34,6.4,61
The Amazing Spider-Man (Console Version),DS,2012,Action,Activision,0.15,0.03,0,0.01,0.2,,,,
Silent Hill: Book of Memories,PSV,2012,Action,Konami Digital Entertainment,0.1,0.05,0,0.04,0.2,58,57,5.1,102
Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0,0.2,,,,
Major League Baseball 2K12,PS3,2012,Sports,Take-Two Interactive,0.18,0,0,0.02,0.19,68,8,4.4,5
The Amazing Spider-Man (Console Version),3DS,2012,Action,Activision,0.15,0.03,0,0.01,0.19,,,,
Danganronpa 2: Goodbye Despair,PSP,2012,Misc,Spike,0,0,0.19,0,0.19,,,,
Just Dance: Greatest Hits,Wii,2012,Misc,Ubisoft,0.14,0.04,0,0.01,0.19,,,,
New Love Plus,3DS,2012,Simulation,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,
Silent Hill HD Collection,X360,2012,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19,69,17,5.6,98
MLB 12: The Show,PSV,2012,Sports,Sony Computer Entertainment,0.17,0,0,0.02,0.19,76,15,7.8,42
Street Fighter X Tekken,PSV,2012,Fighting,Capcom,0.1,0.04,0.01,0.03,0.19,79,25,7.5,66
Binary Domain,X360,2012,Action,Sega,0.09,0.06,0.02,0.02,0.19,74,43,8,185
Pro Yaky? Spirits 2012,PS3,2012,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,
Little Battlers eXperience W,PSP,2012,Role-Playing,Level 5,0,0,0.19,0,0.19,,,,
Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,,,,
